Date,Open,High,Low,Close,Adj Close,Volume
2017-01-04,6.460000,6.460000,6.240000,6.270000,6.270000,29500
2017-01-05,6.400000,6.600000,6.320000,6.320000,6.320000,38700
2017-01-06,6.400000,6.430000,6.290000,6.290000,6.290000,7600
2017-01-09,6.300000,6.420000,6.240000,6.420000,6.420000,76700
2017-01-10,6.320000,6.500000,6.210000,6.490000,6.490000,28400
2017-01-11,6.400000,6.400000,6.150000,6.300000,6.300000,50600
2017-01-12,6.810000,7.140000,6.600000,6.750000,6.750000,373700
2017-01-13,6.810000,6.900000,6.630000,6.740000,6.740000,161500
2017-01-16,6.740000,7.050000,6.680000,6.680000,6.680000,65200
2017-01-17,6.700000,6.700000,6.510000,6.550000,6.550000,77500
2017-01-18,6.540000,6.800000,6.310000,6.510000,6.510000,114400
2017-01-19,6.650000,6.650000,6.480000,6.490000,6.490000,87700
2017-01-20,6.550000,6.700000,6.340000,6.590000,6.590000,111700
2017-01-23,6.520000,6.630000,6.450000,6.510000,6.510000,44000
2017-01-24,6.590000,6.680000,6.500000,6.510000,6.510000,137400
2017-01-26,6.620000,6.680000,6.530000,6.600000,6.600000,291300
2017-01-27,6.590000,6.590000,6.420000,6.510000,6.510000,120100
2017-01-30,6.500000,6.500000,6.340000,6.340000,6.340000,62000
2017-01-31,6.410000,6.430000,6.210000,6.340000,6.340000,62200
2017-02-01,6.340000,6.370000,6.250000,6.270000,6.270000,64000
2017-02-02,6.390000,6.410000,6.210000,6.290000,6.290000,67900
2017-02-03,6.330000,6.350000,6.260000,6.270000,6.270000,24100
2017-02-06,6.250000,6.300000,6.090000,6.120000,6.120000,111600
2017-02-07,6.160000,6.210000,5.950000,6.010000,6.010000,154300
2017-02-08,6.060000,6.060000,5.850000,5.940000,5.940000,180200
2017-02-09,6.010000,6.040000,5.940000,5.980000,5.980000,73300
2017-02-10,6.010000,6.090000,5.940000,5.980000,5.980000,196100
2017-02-13,6.100000,6.330000,6.030000,6.200000,6.200000,482400
2017-02-14,6.230000,6.450000,6.150000,6.450000,6.450000,3286800
2017-02-15,6.510000,6.980000,6.510000,6.930000,6.930000,523200
2017-02-16,6.860000,7.140000,6.770000,6.900000,6.900000,1887400
2017-02-17,6.950000,7.010000,6.800000,6.910000,6.910000,84000
2017-02-20,6.940000,7.100000,6.910000,6.950000,6.950000,154700
2017-02-21,7.000000,7.000000,6.870000,6.940000,6.940000,120000
2017-02-22,6.940000,7.470000,6.890000,7.420000,7.420000,584000
2017-02-23,7.570000,7.770000,7.050000,7.360000,7.360000,568300
2017-02-24,7.020000,7.240000,6.890000,6.910000,6.910000,345800
